CUE,CUEAnexo,Comun,Especial,Adultos,Artistica,Hospitalaria,Intercultural,Carcelaria
0610012,061001200,1,,,,,,
0610013,061001300,1,,,,,,
0610014,061001400,1,,,,,,
0610015,061001500,1,,,,,,
0610016,061001600,1,,,,,,
0610017,061001700,,1,,,,,
0610018,061001800,1,,,,,,
0610019,061001900,1,,,,,,
0610019,061001901,1,,,,,,
0610020,061002000,1,,,,,,
0610021,061002100,1,,,,,,
0610022,061002200,1,,,,,,
0610023,061002300,1,,,,,,
0610024,061002400,1,,,,,,
0610026,061002600,1,,,,,,
0610027,061002700,1,,,,,,
0610028,061002800,1,,,,,,
0610029,061002900,1,,,,,,
0610030,061003000,1,,,,,,
0610031,061003100,1,,,,,,
0610032,061003200,1,,,,,,
0610033,061003300,1,,,,,,
0610034,061003400,1,,,,,,
0610035,061003500,1,,,,,,
0610036,061003600,1,,,,,,
0610037,061003700,1,,,,,,
0610038,061003800,1,,,,,,
0610039,061003900,1,,,,,,
0610041,061004100,1,,,,,,
0610042,061004200,1,,,,,,
0610043,061004300,1,,,,,,
0610044,061004400,1,,,,,,
0610045,061004500,1,,,,,,
0610046,061004600,1,,,,,,
0610047,061004700,1,,,,,,
0610048,061004800,1,,,,,,
0610049,061004900,1,,,,,,
0610050,061005000,1,,,,,,
0610051,061005100,1,,,,,,
0610052,061005200,1,,,,,,
0610053,061005300,1,,,,,,
0610054,061005400,1,,,,,,
0610054,061005401,1,,,,,,
0610055,061005500,1,,,,,,
0610056,061005600,1,,,,,,
0610057,061005700,1,,,,,,
0610058,061005800,1,,,,,,
0610059,061005900,,,1,,,,
0610060,061006000,1,,,,,,
0610061,061006100,1,,,,,,
0610062,061006200,1,,,,,,
0610063,061006300,,,1,,,,
0610063,061006301,,,1,,,,
0610063,061006302,,,1,,,,
0610063,061006303,,,1,,,,
0610064,061006400,1,,,,,,
0610065,061006500,1,,,,,,
0610066,061006600,1,,,,,,
0610067,061006700,1,,,,,,
0610068,061006800,1,,,,,,
0610070,061007000,1,,,,,,
0610071,061007100,1,,,,,,
0610072,061007200,1,,,,,,
0610073,061007300,1,,,,,,
0610075,061007500,1,,,,,,
0610076,061007600,1,,,,,,
0610077,061007700,,,1,,,,
0610077,061007702,,,1,,,,
0610077,061007703,,,1,,,,
0610078,061007800,1,,,,,,
0610079,061007900,1,,,,,,
0610080,061008000,1,,,,,,
0610081,061008100,1,,,,,,
0610081,061008101,1,,,,,,
0610082,061008200,1,,,,,,
0610083,061008300,1,,,,,,
0610084,061008400,1,,,,,,
0610085,061008500,1,,,,,,
0610086,061008600,,1,,,,,
0610087,061008700,1,,,,,,
0610088,061008800,1,,,,,,
0610089,061008900,1,,,,,,
0610090,061009000,1,,,,,,
0610091,061009100,1,,,,,,
0610092,061009200,1,,,,,,
0610093,061009300,1,,,,,,
0610094,061009400,1,,,,,,
0610095,061009500,1,,,,,,
0610096,061009600,1,,,,,,
0610097,061009700,1,,,,,,
0610098,061009800,1,,,,,,
0610100,061010000,1,,,,,,
0610101,061010100,1,,,,,,
0610102,061010200,1,,,,,,
0610103,061010300,1,,,,,,
0610105,061010500,1,,,,,,
0610106,061010600,1,,,,,,
0610107,061010700,1,,,,,,
0610108,061010800,1,,,,,,
0610109,061010900,1,,,,,,
0610110,061011000,,,,,1,,
0610111,061011100,1,,,,,,
0610112,061011200,,1,,,,,
0610113,061011300,,1,,,,,
0610114,061011400,1,,,,,,
0610116,061011600,1,,,,,,
0610118,061011800,1,,,,,,
0610119,061011900,1,,,,,,
0610120,061012000,,,1,,,,
0610121,061012100,1,,,,,,
0610122,061012200,1,,,,,,
0610123,061012300,1,,1,,,,
0610124,061012400,1,,,,,,
0610125,061012500,1,,,,,,
0610127,061012700,1,,,,,,
0610128,061012800,1,,,,,,
0610130,061013000,,1,,,,,
0610132,061013200,1,,,,,,
0610133,061013300,1,,,,,,
0610134,061013400,1,,,,,,
0610136,061013600,1,,,,,,
0610137,061013700,1,,,,,,
0610138,061013800,1,,,,,,
0610140,061014000,,1,,,,,
0610141,061014100,1,,,,,,
0610142,061014200,1,,,,,,
0610144,061014400,1,,,,,,
0610145,061014500,1,,,,,,
0610146,061014600,1,,,,,,
0610147,061014700,1,,,,,,
0610148,061014800,1,,,,,,
0610149,061014900,1,,,,,,
0610150,061015000,1,,,,,,
0610151,061015100,,,1,,,,
0610151,061015101,,,1,,,,
0610151,061015102,,,1,,,,
0610151,061015103,,,1,,,,
0610153,061015300,1,,,,,,
0610154,061015400,1,,,,,,
0610155,061015500,1,,,,,,
0610155,061015501,1,,,,,,
0610156,061015600,1,,,,,,
0610157,061015700,1,,,,,,
0610159,061015900,1,,,,,,
0610161,061016100,1,,,,,,
0610162,061016200,1,,,,,,
0610163,061016300,1,,,,,,
0610164,061016400,1,,,,,,
0610165,061016500,1,,,,,,
0610166,061016600,1,,,,,,
0610167,061016700,1,,,,,,
0610169,061016900,1,,,,,,
0610170,061017000,1,,,,,,
0610171,061017100,1,,,,,,
0610173,061017300,1,,,,,,
0610174,061017400,1,,,,,,
0610175,061017500,1,,,,,,
0610176,061017600,1,,,,,,
0610177,061017700,1,,,,,,
0610178,061017800,1,,,,,,
0610179,061017900,1,,,,,,
0610180,061018000,1,,,,,,
0610181,061018100,1,,,,,,
0610182,061018200,1,,,,,,
0610183,061018300,1,,,,,,
0610184,061018400,1,,,,,,
0610185,061018500,1,,,,,,
0610185,061018501,1,,,,,,
0610186,061018600,1,,,,,,
0610187,061018700,1,,,,,,
0610188,061018800,1,,,,,,
0610189,061018900,1,,,,,,
0610190,061019000,1,,,,,,
0610191,061019100,1,,,,,,
0610192,061019200,1,,,,,,
0610193,061019300,1,,,,,,
0610194,061019400,1,,,,,,
0610195,061019500,1,,,,,,
0610196,061019600,,1,,,1,,
0610197,061019700,1,,,,,,
0610198,061019800,1,,,,,,
0610199,061019900,1,,,,,,
0610200,061020000,1,,,,,,
0610201,061020100,1,,,,,,
0610202,061020200,1,,,,,,
0610203,061020300,1,,,,,,
0610205,061020500,1,,,,,,
0610206,061020600,1,,,,,,
0610207,061020700,1,,,,,,
0610208,061020800,1,,,,,,
0610209,061020900,1,,,,,,
0610210,061021000,1,,,,,,
0610211,061021100,1,,,,,,
0610214,061021400,1,,,,,,
0610215,061021500,1,,,,,,
0610216,061021600,1,,,,,,
0610216,061021601,1,,,,,,
0610217,061021700,1,,,,,,
0610218,061021800,1,,,,,,
0610219,061021900,1,,,,,,
0610220,061022000,1,,,,,,
0610221,061022100,1,,,,,,
0610222,061022200,1,,,,,,
0610224,061022400,1,,,1,,,
0610225,061022500,1,,,1,,,
0610226,061022600,1,,,,,,
0610228,061022800,,,1,,,,
0610229,061022900,1,,,,,,
0610230,061023000,1,,,,,,
0610231,061023100,1,,,,,,
0610232,061023200,1,,,,,,
0610233,061023300,1,,,,,,
0610234,061023400,1,,,,,,
0610235,061023500,1,,,,,,
0610236,061023600,1,,,,,,
0610237,061023700,1,,,,,,
0610238,061023800,1,,,,,,
0610239,061023900,1,,,,,,
0610240,061024000,1,,,,,,
0610242,061024200,1,,,,,,
0610245,061024500,1,,,,,,
0610246,061024600,1,,,,,,
0610248,061024800,1,,,,,,
0610250,061025000,1,,,,,,
0610251,061025100,1,,,,,,
0610252,061025200,,1,,,,,
0610253,061025300,1,,,,,,
0610254,061025400,1,,,,,,
0610255,061025500,,,1,,,,
0610256,061025600,,1,,,1,,
0610257,061025700,1,,,,,,
0610258,061025800,1,,,,,,
0610259,061025900,1,,,,,,
0610260,061026000,1,,,,,,
0610261,061026100,1,,,,,,
0610262,061026200,1,,,,,,
0610263,061026300,1,,,,,,
0610265,061026500,1,,,,,,
0610267,061026700,1,,,,,,
0610268,061026800,1,,,,,,
0610269,061026900,1,,,,,,
0610269,061026901,1,,,,,,
0610270,061027000,,,1,,,,
0610272,061027200,1,,,,,,
0610273,061027300,1,,,,,,
0610274,061027400,1,,,,,,
0610275,061027500,1,,,,,,
0610277,061027700,1,,,,,,
0610278,061027800,1,,,,,,
0610279,061027900,1,,,,,,
0610280,061028000,1,,,,,,
0610281,061028100,1,,,,,,
0610282,061028200,1,,,,,,
0610283,061028300,1,,,,,,
0610284,061028400,1,,,,,,
0610285,061028500,1,,,,,,
0610286,061028600,1,,,,,,
0610287,061028700,1,,,,,,
0610288,061028800,1,,,,,,
0610289,061028900,1,,,,,,
0610290,061029000,1,,,,,,
0610292,061029200,1,,,,,,
0610293,061029300,1,,,,,,
0610294,061029400,1,,,,,,
0610295,061029500,1,,,,,,
0610296,061029600,1,,,,,,
0610298,061029800,,,1,,,,
0610300,061030000,1,,,,,,
0610301,061030100,1,,,,,,
0610302,061030200,1,,,,,,
0610303,061030300,,,1,,,,
0610304,061030400,,1,,,,,
0610305,061030500,1,,,,,,
0610306,061030600,1,,,,,,
0610307,061030700,1,,,,,,
0610308,061030800,,,1,,,,
0610309,061030900,1,,,,,,
0610311,061031100,1,,,,,,
0610312,061031200,1,,,,,,
0610313,061031300,1,,,,,,
0610315,061031500,1,,,,,,
0610316,061031600,1,,,,,,
0610317,061031700,1,,,,,,
0610318,061031800,1,,,,,,
0610319,061031900,1,,,,,,
0610320,061032000,1,,,,,,
0610321,061032100,1,,,,,,
0610322,061032200,1,,,,,,
0610322,061032201,1,,,,,,
0610323,061032300,1,,,,,,
0610324,061032400,1,,,,,,
0610325,061032500,1,,,,,,
0610326,061032600,1,,,,,,
0610327,061032700,1,,,,,,
0610328,061032800,1,,,,,,
0610329,061032900,1,,,,,,
0610330,061033000,1,,,,,,
0610331,061033100,1,,,,,,
0610332,061033200,1,,,,,,
0610333,061033300,1,,,,,,
0610334,061033400,1,,,,,,
0610335,061033500,1,,,,,,
0610336,061033600,1,,,,,,
0610337,061033700,1,,,,,,
0610338,061033800,1,,,,,,
0610339,061033900,1,,,,,,
0610340,061034000,1,,,,,,
0610341,061034100,1,,,,,,
0610341,061034101,1,,,,,,1
0610342,061034200,1,,,,,,
0610343,061034300,1,,,,,,
0610344,061034400,1,,,,,,
0610345,061034500,1,,,,,,
0610346,061034600,1,,,,,,
0610347,061034700,,1,,,,,
0610348,061034800,1,,,,,,
0610349,061034900,1,,,,,,
0610350,061035000,1,,,,,,
0610351,061035100,1,,,,,,
0610352,061035200,1,,,,,,
0610354,061035400,1,,,,,,
0610355,061035500,1,,,,,,
0610356,061035600,1,,,,,,
0610357,061035700,1,,,,,,
0610358,061035800,1,,,,,,
0610359,061035900,1,,,,,,
0610360,061036000,1,,,,,,
0610361,061036100,,,1,,,,
0610361,061036101,,,1,,,,
0610361,061036102,,,1,,,,
0610362,061036200,1,,,,,,
0610363,061036300,1,,,,,,
0610364,061036400,1,,,,,,
0610365,061036500,1,,,,,,
0610366,061036600,1,,,,,,
0610367,061036700,1,,,,,,
0610368,061036800,1,,,,,,
0610369,061036900,1,,,,,,
0610370,061037000,1,,,,,,
0610371,061037100,1,,,,,,
0610372,061037200,1,,,,,,
0610373,061037300,1,,,,,,
0610374,061037400,1,,,,,,
0610375,061037500,1,,,,,,
0610376,061037600,1,,,,,,
0610377,061037700,1,,,,,,
0610378,061037800,1,,,,,,
0610379,061037900,,1,,,,,
0610380,061038000,1,,,,,,
0610381,061038100,1,,,,,,
0610382,061038200,1,,,,,,
0610383,061038300,1,,,,,,
0610385,061038500,1,,,,,,
0610387,061038700,1,,,,,,
0610389,061038900,1,,,,,,
0610390,061039000,1,,,,,,
0610391,061039100,1,,,,,,
0610392,061039200,1,,,,,,
0610393,061039300,1,,,,,,
0610394,061039400,1,,,,,,
0610395,061039500,1,,,,,,
0610397,061039700,1,,,,,,
0610398,061039800,1,,,,,,
0610399,061039900,1,,,,,,
0610400,061040000,1,,,,,,
0610400,061040001,1,,,,,,
0610401,061040100,1,,,,,,
0610402,061040200,1,,,,,,
0610403,061040300,1,,,,,,
0610404,061040400,1,,,,,,
0610405,061040500,1,,,,,,
0610406,061040600,1,,,,,,
0610407,061040700,1,,,,,,
0610410,061041000,1,,,,,,
0610411,061041100,1,,,,,,
0610412,061041200,1,,,,,,
0610413,061041300,1,,,,,,
0610414,061041400,1,,,,,,
0610415,061041500,1,,,,,,
0610416,061041600,1,,,,,,
0610417,061041700,1,,,,,,
0610418,061041800,1,,,,,,
0610420,061042000,1,,,,,,
0610421,061042100,1,,,,,,
0610422,061042200,1,,,,,,
0610423,061042300,,,1,,,,
0610423,061042301,,,1,,,,
0610424,061042400,1,,,,,,
0610425,061042500,1,,,,,,
0610426,061042600,1,,,,,,
0610427,061042700,1,,,,,,
0610430,061043000,1,,,,,,
0610431,061043100,1,,,,,,
0610432,061043200,,,1,,,,
0610432,061043201,,,1,,,,
0610433,061043300,1,,,,,,
0610434,061043400,1,,,,,,
0610435,061043500,1,,,,,,
0610436,061043600,1,,,,,,
0610437,061043700,,,1,,,,
0610438,061043800,1,,,,,,
0610441,061044100,1,,,,,,
0610444,061044400,1,,,,,,
0610445,061044500,1,,,,,,
0610446,061044600,1,,,,,,
0610447,061044700,1,,,,,,
0610448,061044800,1,,,,,,
0610449,061044900,,1,,,1,,
0610450,061045000,,,1,,,,
0610451,061045100,1,,,,,,
0610452,061045200,1,,,,,,
0610453,061045300,1,,,,,,
0610455,061045500,1,,,,,,
0610456,061045600,1,,,,,,
0610456,061045601,1,,,,,,
0610457,061045700,1,,,,,,
0610458,061045800,1,,,,,,
0610459,061045900,1,,,,,,
0610460,061046000,1,,,,,,
0610461,061046100,,1,,,,,
0610462,061046200,1,,,,,,
0610463,061046300,1,,,,,,
0610464,061046400,1,,,,,,
0610465,061046500,1,,,,,,
0610468,061046800,1,,,,,,
0610469,061046900,1,,,,,,
0610470,061047000,1,,,,,,
0610471,061047100,1,,,,,,
0610472,061047200,1,,,,,,
0610473,061047300,1,,,,,,
0610474,061047400,1,,,,,,
0610475,061047500,1,,,,,,
0610476,061047600,1,,,,,,
0610477,061047700,1,,,,,,
0610478,061047800,1,,,,,,
0610479,061047900,1,,,,,,
0610480,061048000,1,,,,,,
0610481,061048100,1,,,,,,
0610482,061048200,1,,,,,,
0610483,061048300,1,,,,,,
0610484,061048400,1,,,,,,
0610485,061048500,1,,,,,,
0610486,061048600,1,,,,,,
0610487,061048700,1,,,,,,
0610489,061048900,1,,,,,,
0610490,061049000,1,,,,,,
0610491,061049100,1,,,,,,
0610492,061049200,1,,,,,,
0610494,061049400,1,,,,,,
0610495,061049500,1,,,,,,
0610496,061049600,1,,,,,,
0610497,061049700,1,,,,,,
0610499,061049900,1,,,,,,
0610500,061050000,1,,,,,,
0610501,061050100,1,,,,,,
0610502,061050200,1,,,,,,
0610503,061050300,1,,,,,,
0610504,061050400,1,,,,,,
0610505,061050500,1,,,,,,
0610506,061050600,1,,,,,,
0610507,061050700,1,,,,,,
0610508,061050800,1,,,,,,
0610509,061050900,1,,,,,,
0610511,061051100,1,,,,,,
0610512,061051200,1,,,,,,
0610513,061051300,1,,,,,,
0610514,061051400,1,,,,,,
0610515,061051500,1,,,,,,
0610516,061051600,1,,,,,,
0610517,061051700,1,,,,,,
0610518,061051800,1,,,,,,
0610519,061051900,1,,,,,,
0610520,061052000,1,,,,,,
0610521,061052100,1,,,,,,
0610522,061052200,1,,,,,,
0610523,061052300,1,,,,,,
0610524,061052400,1,,,,,,
0610525,061052500,1,,,,,,
0610526,061052600,1,,,,,,
0610527,061052700,,,1,,,,
0610527,061052701,,,1,,,,
0610527,061052702,,,1,,,,
0610528,061052800,1,,,,,,
0610529,061052900,1,,,,,,
0610530,061053000,1,,,,,,
0610531,061053100,1,,,,,,
0610532,061053200,1,,,,,,
0610533,061053300,1,,,,,,
0610534,061053400,1,,,,,,
0610535,061053500,,,1,,,,
0610535,061053501,,,1,,,,
0610535,061053502,,,1,,,,
0610535,061053503,,,1,,,,
0610536,061053600,1,,,,,,
0610537,061053700,1,,,,,,
0610538,061053800,,1,,,,,
0610539,061053900,1,,,,,,
0610540,061054000,1,,,,,,
0610541,061054100,1,,,,,,
0610542,061054200,1,,,,,,
0610543,061054300,1,,,,,,
0610544,061054400,1,,,,,,
0610545,061054500,1,,,,,,
0610546,061054600,1,,,,,,
0610547,061054700,1,,,,,,
0610548,061054800,1,,,,,,
0610549,061054900,1,,,,,,
0610551,061055100,,,1,,,,
0610551,061055101,,,1,,,,
0610552,061055200,1,,,,,,
0610553,061055300,1,,,,,,
0610554,061055400,1,,,,,,
0610555,061055500,1,,,,,,
0610556,061055600,1,,,,,,
0610557,061055700,1,,,,,,
0610558,061055800,1,,,,,,
0610559,061055900,1,,,,,,
0610560,061056000,1,,,,,,
0610561,061056100,1,,,,,,
0610563,061056300,1,,,,,,
0610564,061056400,1,,,,,,
0610565,061056500,1,,,,,,
0610566,061056600,1,,,,,,
0610567,061056700,1,,,,,,
0610569,061056900,1,,,,,,
0610570,061057000,1,,,,,,
0610571,061057100,1,,,,,,
0610572,061057200,1,,,,,,
0610573,061057300,1,,,,,,
0610574,061057400,1,,,,,,
0610575,061057500,1,,,,,,
0610576,061057600,1,,,,,,
0610577,061057700,1,,1,,,,
0610578,061057800,1,,,,,,
0610579,061057900,1,,,,,,
0610580,061058000,1,,,,,,
0610581,061058100,1,,,,,,
0610582,061058200,1,,,,,,
0610583,061058300,1,,,,,,
0610584,061058400,1,,,,,,
0610585,061058500,1,,,,,,
0610586,061058600,1,,,,,,
0610587,061058700,,1,,,,,
0610588,061058800,1,,,,,,
0610589,061058900,,,1,,,,
0610589,061058901,,,1,,,,
0610590,061059000,1,,,,,,
0610591,061059100,1,,,,,,
0610592,061059200,,,1,,,,
0610592,061059201,,,1,,,,
0610592,061059202,,,1,,,,
0610593,061059300,1,,,,,,
0610594,061059400,1,,,,,,
0610595,061059500,,,1,,,,
0610596,061059600,1,,,,,,
0610597,061059700,,,1,,,,
0610597,061059701,,,1,,,,
0610597,061059702,,,1,,,,
0610598,061059800,1,,,,,,
0610599,061059900,1,,,,,,
0610600,061060000,1,,,1,,,
0610601,061060100,1,,,,,,
0610602,061060200,1,,,,,,
0610603,061060300,1,,,,,,
0610604,061060400,1,,,,,,
0610606,061060600,1,,,,,,
0610608,061060800,1,,,,,,
0610609,061060900,1,,,,,,
0610610,061061000,1,,,,,,
0610611,061061100,1,,,,,,
0610612,061061200,1,,,,,,
0610613,061061300,1,,,,,,
0610614,061061400,1,,,,,,
0610615,061061500,1,,,,,,
0610616,061061600,1,,,,,,
0610617,061061700,1,,,,,,
0610618,061061800,1,,,,,,
0610619,061061900,1,,,,,,
0610620,061062000,1,,,,,,
0610621,061062100,1,,,,,,
0610622,061062200,1,,,,,,
0610623,061062300,1,,,,,,
0610624,061062400,,1,,,,,
0610625,061062500,1,,,,,,
0610626,061062600,1,,,,,,
0610627,061062700,1,,,,,,
0610628,061062800,1,,,,,,
0610629,061062900,1,,,,,,
0610630,061063000,1,,,,,,
0610631,061063100,1,,,,,,
0610632,061063200,1,,,,,,
0610633,061063300,1,,,,,,
0610634,061063400,1,,,,,,
0610635,061063500,1,,,,,,
0610636,061063600,1,,,,,,
0610637,061063700,1,,,,,,
0610638,061063800,1,,,,,,
0610639,061063900,1,,,,,,
0610642,061064200,1,,,,,,
0610643,061064300,1,,,,,,
0610644,061064400,1,,,,,,
0610645,061064500,1,,,,,,
0610646,061064600,1,,,,,,
0610647,061064700,1,,,,,,
0610648,061064800,1,,,,,,
0610649,061064900,1,,,,,,
0610650,061065000,1,,,,,,
0610651,061065100,1,,,,,,
0610652,061065200,1,,,,,,
0610653,061065300,1,,,,,,
0610654,061065400,1,,,,,,
0610655,061065500,1,,,,,,
0610656,061065600,,,1,,,,
0610656,061065601,,,1,,,,
0610656,061065602,,,1,,,,
0610656,061065603,,,1,,,,
0610657,061065700,1,,,,,,
0610658,061065800,1,,,,,,
0610660,061066000,1,,,,,,
0610661,061066100,1,,,,,,
0610662,061066200,1,,,,,,
0610663,061066300,1,,,,,,
0610664,061066400,1,,,,,,
0610665,061066500,1,,,,,,
0610666,061066600,1,,,,,,
0610667,061066700,1,,,,,,
0610668,061066800,1,,,,,,
0610669,061066900,1,,,,,,
0610670,061067000,1,,,,,,
0610671,061067100,1,,,,,,
0610672,061067200,1,,,,,,
0610673,061067300,1,,,,,,
0610674,061067400,1,,,,,,
0610675,061067500,,,1,,,,
0610676,061067600,1,,,,,,
0610677,061067700,1,,,,,,
0610677,061067701,1,,,,,,
0610678,061067800,1,,,,,,
0610679,061067900,1,,,,,,
0610680,061068000,1,,,,,,
0610681,061068100,1,,,,,,
0610682,061068200,,,1,,,,
0610684,061068400,1,,,,,,
0610685,061068500,1,,,,,,
0610686,061068600,1,,,,,,
0610687,061068700,1,,,,,,
0610688,061068800,1,,,,,,
0610689,061068900,1,,,,,,
0610690,061069000,,,1,,,,
0610690,061069001,,,1,,,,
0610691,061069100,1,,,,,,
0610692,061069200,1,,,,,,
0610693,061069300,,,1,,,,
0610694,061069400,1,,,,,,
0610694,061069401,1,,,,,,
0610695,061069500,1,,,,,,
0610696,061069600,1,,,,,,
0610697,061069700,1,,,,,,
0610698,061069800,1,,,,,,
0610699,061069900,1,,,,,,
0610700,061070000,1,,,,,,
0610701,061070100,,,1,,,,
0610704,061070400,1,,,,,,
0610706,061070600,1,,,,,,
0610708,061070800,1,,,,,,
0610709,061070900,1,,,,,,
0610710,061071000,1,,,,,,
0610711,061071100,1,,,,,,
0610712,061071200,1,,,,,,
0610713,061071300,1,,,,,,
0610715,061071500,1,,,,,,
0610716,061071600,1,,,,,,
0610717,061071700,1,,,,,,
0610718,061071800,1,,,,,,
0610719,061071900,,,1,,,,
0610720,061072000,,,1,,,,
0610722,061072200,1,,,,,,
0610723,061072300,1,,,,,,
0610724,061072400,1,,,,,,
0610725,061072500,1,,,,,,
0610727,061072700,1,,,,,,
0610728,061072800,,,1,,,,
0610729,061072900,,,1,,,,
0610729,061072901,,,1,,,,
0610729,061072902,,,1,,,,
0610729,061072903,,,1,,,,
0610730,061073000,1,,,,,,
0610731,061073100,,,1,,,,
0610732,061073200,,,1,,,,
0610733,061073300,1,,,,,,
0610734,061073400,1,,,,,,
0610735,061073500,1,,,,,,
0610736,061073600,1,,,,,,
0610738,061073800,1,,,,,,
0610739,061073900,1,,,,,,
0610740,061074000,1,,,,,,
0610741,061074100,1,,,,,,
0610742,061074200,,1,,,,,
0610742,061074201,,1,,,,,
0610743,061074300,,1,,,,,
0610745,061074500,1,,,,,,
0610746,061074600,1,,,,,,
0610747,061074700,1,,,,,,
0610748,061074800,1,,,,,,
0610750,061075000,1,,,,,,
0610751,061075100,1,,,,,,
0610751,061075101,1,,,,,,
0610752,061075200,1,,,,,,
0610753,061075300,1,,,,,,
0610754,061075400,1,,,,,,
0610755,061075500,1,,,,,,
0610756,061075600,1,,,,,,
0610757,061075700,1,,,,,,
0610758,061075800,1,,,,,,
0610759,061075900,1,,,,,,
0610760,061076000,1,,,,,,
0610762,061076200,1,,,,,,
0610764,061076400,1,,,,,,
0610765,061076500,1,,,,,,
0610766,061076600,1,,,,,,
0610767,061076700,1,,,,,,
0610768,061076800,1,,,,,,
0610769,061076900,,,1,,,,
0610770,061077000,,,1,,,,
0610771,061077100,1,,,,,,
0610772,061077200,1,,,,,,
0610773,061077300,1,,,,,,
0610774,061077400,1,,,,,,
0610775,061077500,1,,,,,,
0610776,061077600,1,,,,,,
0610777,061077700,1,,,,,,
0610778,061077800,1,,,,,,
0610779,061077900,1,,,,,,
0610780,061078000,1,,,,,,
0610781,061078100,1,,,,,,
0610782,061078200,1,,,,,,
0610783,061078300,1,,,,,,
0610784,061078400,1,,,,,,
0610785,061078500,1,,,,,,
0610786,061078600,1,,,,,,
0610787,061078700,1,,,,,,
0610788,061078800,1,,,,,,
0610789,061078900,1,,,,,,
0610790,061079000,1,,,,,,
0610791,061079100,1,,,,,,
0610792,061079200,1,,,,,,
0610793,061079300,1,,,,,,
0610794,061079400,1,,,,,,
0610795,061079500,1,,,,,,
0610796,061079600,1,,,,,,
0610797,061079700,1,,,,,,
0610798,061079800,1,,,,,,
0610799,061079900,1,,,,,,
0610801,061080100,1,,,,,,
0610802,061080200,1,,,,,,
0610803,061080300,1,,,,,,
0610806,061080600,1,,,,,,
0610807,061080700,1,,,,,,
0610809,061080900,1,,,,,,
0610810,061081000,1,,,,,,
0610811,061081100,,1,,,,,
0610812,061081200,1,,,,,,
0610813,061081300,1,,,,,,
0610814,061081400,1,,,,,,
0610815,061081500,1,,,,,,
0610816,061081600,1,,,,,,
0610817,061081700,1,,,,,,
0610818,061081800,1,,,,,,
0610819,061081900,1,,,,,,
0610820,061082000,1,,,,,,
0610821,061082100,1,,,,,,
0610822,061082200,1,,,,,,
0610823,061082300,1,,,,,,
0610824,061082400,1,,,,,,
0610825,061082500,1,,,,,,
0610826,061082600,1,,,,,,
0610827,061082700,1,,,,,,
0610828,061082800,1,,,,,,
0610829,061082900,1,,,,,,
0610830,061083000,1,,,,,,
0610831,061083100,1,,,,,,
0610832,061083200,,1,,,,,
0610833,061083300,1,,,,,,
0610834,061083400,1,,,,,,
0610835,061083500,1,,,,,,
0610836,061083600,1,,,,,,
0610837,061083700,1,,,,,,
0610838,061083800,,1,,,1,,
0610839,061083900,1,,,,,,
0610840,061084000,1,,,,,,
0610843,061084300,1,,,,,,
0610844,061084400,1,,,,,,
0610845,061084500,1,,,,,,
0610848,061084800,1,,,,,,
0610850,061085000,1,,,,,,
0610851,061085100,1,,,,,,
0610852,061085200,,,1,,,,
0610853,061085300,1,,,,,,
0610854,061085400,1,,,,,,
0610855,061085500,1,,,,,,
0610856,061085600,1,,,,,,
0610859,061085900,1,,,,,,
0610861,061086100,1,,,,,,
0610862,061086200,1,,,,,,
0610862,061086201,1,,,,,,
0610863,061086300,,1,,,,,
0610865,061086500,1,,,,,,
0610866,061086600,1,,,,,,
0610867,061086700,1,,,,,,
0610868,061086800,,,1,,,,
0610868,061086801,,,1,,,,
0610868,061086802,,,1,,,,
0610868,061086803,,,1,,,,
0610869,061086900,1,,,,,,
0610870,061087000,1,,,,,,
0610871,061087100,1,,,,,,
0610872,061087200,1,,,,,,
0610873,061087300,1,,,,,,
0610874,061087400,1,,,,,,
0610875,061087500,1,,,,,,
0610876,061087600,1,,,,,,
0610877,061087700,1,,,,,,
0610878,061087800,1,,,,,,
0610879,061087900,1,,,,,,
0610880,061088000,1,,,,,,
0610881,061088100,1,,,,,,
0610882,061088200,1,,,,,,
0610884,061088400,1,,,,,,
0610887,061088700,,,1,,,,
0610888,061088800,1,,,,,,
0610889,061088900,1,,,,,,
0610890,061089000,1,,,,,,
0610891,061089100,1,,,,,,
0610892,061089200,1,,,,,,
0610893,061089300,1,,,,,,
0610894,061089400,1,,,,,,
0610896,061089600,1,,,,,,
0610897,061089700,1,,,,,,
0610899,061089900,1,,,,,,
0610900,061090000,1,,,,,,
0610901,061090100,1,,,,,,
0610902,061090200,1,,,,,,
0610903,061090300,1,,,,,,
0610904,061090400,1,,,,,,
0610905,061090500,1,,,,,,
0610906,061090600,1,,,,,,
0610907,061090700,1,,,,,,
0610908,061090800,1,,,,,,
0610909,061090900,1,,,,,,
0610910,061091000,1,,,,,,
0610913,061091300,1,,,,,,
0610915,061091500,1,,,,,,
0610916,061091600,1,,,,,,
0610917,061091700,1,,,,,,
0610918,061091800,1,,,,,,
0610920,061092000,1,,,,,,
0610921,061092100,1,,,,,,
0610922,061092200,1,,,,,,
0610923,061092300,1,,,,,,
0610924,061092400,1,,,,,,
0610925,061092500,1,,,,,,
0610926,061092600,,1,,,,,
0610927,061092700,1,,,,,,
0610928,061092800,1,,,,,,
0610929,061092900,1,,,,,,
0610930,061093000,1,,,,,,
0610931,061093100,1,,,,,,
0610932,061093200,1,,,,,,
0610933,061093300,1,,,,,,
0610934,061093400,1,,,,,,
0610937,061093700,1,,,,,,
