CUE,CUEAnexo,Comun,Especial,Adultos,Artistica,Hospitalaria,Intercultural,Carcelaria
0200232,020023200,1,,,,,,
0200233,020023300,1,,,,,,
0200234,020023400,1,,,,,,
0200235,020023500,1,,,,,,
0200236,020023600,1,,,,,,
0200237,020023700,1,,,,,,
0200238,020023800,,,1,,,,
0200239,020023900,1,,,,,,
0200239,020023901,1,,,,,,
0200240,020024000,1,,,,,,
0200243,020024300,,,1,,,,
0200248,020024800,1,,,,,,
0200249,020024900,1,,,,,,
0200249,020024902,1,,,,,,
0200249,020024903,1,,,,,,
0200250,020025000,1,,,,,,
0200251,020025100,1,,,,,,
0200253,020025300,1,,,,,,
0200254,020025400,1,,,,,,
0200255,020025500,1,,,,,,
0200256,020025600,1,,,,,,
0200257,020025700,,,1,,,,
0200258,020025800,,,1,,,,
0200259,020025900,,,1,,,,
0200260,020026000,,,1,,,,
0200261,020026100,,,1,,,,
0200262,020026200,,,1,,,,
0200263,020026300,,,1,,,,
0200264,020026400,1,,,,,,
0200266,020026600,,1,,,,,
0200268,020026800,1,,,,,,
0200269,020026900,,1,,,,,
0200270,020027000,,,1,,,,
0200271,020027100,,,1,,,,
0200272,020027200,,,1,,,,
0200273,020027300,1,,,,,,
0200274,020027400,1,,,,,,
0200275,020027500,1,,,,,,
0200276,020027600,1,,,,,,
0200278,020027800,1,,,,,,
0200278,020027804,1,,,,,,
0200279,020027900,1,,,,,,
0200281,020028100,1,,,,,,
0200283,020028300,1,,,,,,
0200284,020028400,,,1,,,,
0200285,020028500,1,,,,,,
0200286,020028600,1,,,,,,
0200287,020028700,1,,,,,,
0200289,020028900,1,,,,,,
0200290,020029000,1,,,,,,
0200290,020029001,1,,,,,,
0200290,020029002,1,,,,,,
0200293,020029300,1,,,,,,
0200294,020029400,1,,,,,,
0200294,020029401,1,,,,,,
0200295,020029500,1,,,,,,
0200296,020029600,1,,,,,,
0200297,020029700,1,,,,,,
0200298,020029800,1,,,,,,
0200299,020029900,1,,,,,,
0200301,020030100,,,1,,,,
0200302,020030200,1,,,,,,
0200303,020030300,1,,,,,,
0200304,020030400,1,,,,,,
0200305,020030500,1,,,,,,
